loss/valid,pl/valid_acc,pl/valid_precision,pl/valid_recall,comparison/_accurcay,comparison/_precision,comparison/_recall,comparison/tp,comparison/fp,comparison/tn,comparison/fn,epoch,step
103302800.0,0.5098039507865906,0.2857142984867096,0.042553190141916275,0.5099999904632568,0.20000000298023224,0.021739130839705467,1,4,50,45,0,99
20891508.0,0.5198019742965698,0.5333333611488342,0.08163265138864517,0.5299999713897705,0.75,0.11764705926179886,6,2,47,45,1,199
18388618.0,0.5132450461387634,0.5454545617103577,0.08053690940141678,0.5,0.5714285969734192,0.0784313753247261,4,3,46,47,2,299
18161414.0,0.5174129605293274,0.5357142686843872,0.07653061300516129,0.5299999713897705,0.5,0.06382978707551956,3,3,50,44,3,399
18138912.0,0.4940239191055298,0.529411792755127,0.0703125,0.4000000059604645,0.5,0.05000000074505806,3,3,37,57,4,499
